City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,19.65,58,0,4.92,ZA,1674962952
1,vicosa,-20.7539,-42.8819,19.76,96,100,1.99,BR,1674962953
2,luderitz,-26.6481,15.1594,16.77,79,0,9.6,NA,1674962954
3,rosetta,31.4044,30.4164,15.01,69,0,3.31,EG,1674962954
4,voloshka,61.3314,40.0858,-10.09,94,100,4.41,RU,1674962955
5,faanui,-16.4833,-151.75,27.49,72,9,5.19,PF,1674962955
6,hobart,-42.8794,147.3294,24.47,45,20,6.17,AU,1674962899
7,san jeronimo,-11.9472,-75.2829,11.71,82,100,1.47,PE,1674962955
8,nanortalik,60.1432,-45.2371,-7.77,74,47,9.3,GL,1674962956
9,chicama,-7.8447,-79.1469,20.3,74,100,1.87,PE,1674962956
10,mataura,-46.1927,168.8643,27.57,28,1,2.35,NZ,1674962957
11,bontang,0.1333,117.5,27.79,76,68,0.77,ID,1674962957
12,spirit river,55.7833,-118.8361,-15.78,78,2,5.64,CA,1674962957
13,santiago,-33.4569,-70.6483,25.7,30,0,3.6,CL,1674962909
14,thompson,55.7435,-97.8558,-28.91,76,40,2.06,CA,1674962958
15,saint george,37.1041,-113.5841,7.75,51,0,1.54,US,1674962757
16,kailua,21.4022,-157.7394,23.99,85,100,1.79,US,1674962958
17,kruisfontein,-34.0033,24.7314,14.94,82,36,2.31,ZA,1674962959
18,beringovskiy,63.05,179.3167,-5.68,100,72,2.6,RU,1674962959
19,aksarka,66.5606,67.7975,-25.68,100,99,0.53,RU,1674962959
20,kapaa,22.0752,-159.319,24.18,68,20,9.26,US,1674962960
21,bilma,18.6853,12.9164,21.25,15,100,3.55,NE,1674962960
22,longyearbyen,78.2186,15.6401,-4.09,74,75,2.57,SJ,1674962961
23,lompoc,34.6391,-120.4579,11.58,82,100,7.15,US,1674962961
24,la ronge,55.1001,-105.2842,-21.86,71,100,6.17,CA,1674962961
25,ilulissat,69.2167,-51.1,-9.99,67,100,7.72,GL,1674962962
26,kaeo,-35.1,173.7833,25.74,80,74,3.94,NZ,1674962962
27,paciran,-6.8767,112.3761,27.84,75,99,2.1,ID,1674962962
28,dodge city,37.7528,-100.0171,-5.98,89,100,12.35,US,1674962963
29,cairns,-16.9167,145.7667,35.04,79,40,3.6,AU,1674962963
30,rikitea,-23.1203,-134.9692,26.42,67,23,5.33,PF,1674962964
31,kodiak,57.79,-152.4072,0.73,100,100,0.0,US,1674962964
32,leningradskiy,69.3833,178.4167,-17.41,91,25,1.97,RU,1674962964
33,ushuaia,-54.8,-68.3,10.81,58,20,8.23,AR,1674962965
34,puerto ayora,-0.7393,-90.3518,24.19,99,58,0.45,EC,1674962965
35,rio gallegos,-51.6226,-69.2181,14.03,44,0,5.66,AR,1674962966
36,bengkulu,-3.8004,102.2655,28.22,67,99,3.54,ID,1674962966
37,aras,42.5617,-2.356,0.42,75,100,4.12,ES,1674962967
38,santa isabel do rio negro,-0.4139,-65.0192,25.12,79,100,0.73,BR,1674962967
39,airai,-8.9266,125.4092,22.67,71,71,1.04,TL,1674962679
40,butaritari,3.0707,172.7902,27.31,81,2,9.88,KI,1674962968
41,jamestown,42.097,-79.2353,-0.2,81,75,1.54,US,1674962741
42,cidreira,-30.1811,-50.2056,24.08,90,78,0.19,BR,1674962968
43,saldanha,-33.0117,17.9442,16.03,76,3,6.72,ZA,1674962969
44,chimoio,-19.1164,33.4833,22.92,83,0,1.86,MZ,1674962970
45,hay river,60.8156,-115.7999,-24.01,70,20,3.09,CA,1674962970
46,zhezkazgan,47.8043,67.7144,-21.01,84,40,1.0,KZ,1674962971
47,punta arenas,-53.15,-70.9167,13.06,58,40,13.89,CL,1674962971
48,mount isa,-20.7333,139.5,32.87,40,75,5.14,AU,1674962971
49,quepos,9.4236,-84.1652,23.77,62,38,2.63,CR,1674962972
50,avarua,-21.2078,-159.775,28.03,78,75,4.63,CK,1674962972
51,stromness,58.965,-3.296,8.82,84,100,10.73,GB,1674962972
52,pevek,69.7008,170.3133,-12.73,85,10,6.14,RU,1674962973
53,busselton,-33.65,115.3333,26.66,38,67,1.74,AU,1674962973
54,vaitape,-16.5167,-151.75,27.49,72,9,5.12,PF,1674962974
55,mezen,65.8522,44.24,-5.1,90,100,6.07,RU,1674962974
56,imeni poliny osipenko,52.4201,136.4853,-27.74,90,91,4.0,RU,1674962975
57,yellowknife,62.456,-114.3525,-25.25,76,0,5.66,CA,1674962882
58,okha,53.5739,142.9478,-23.53,88,70,7.87,RU,1674962975
59,ancud,-41.8697,-73.8203,14.2,94,6,1.71,CL,1674962722
60,pauini,-7.7136,-66.9764,22.18,99,99,0.81,BR,1674962976
61,norman wells,65.282,-126.8329,-25.98,76,75,2.06,CA,1674962925
62,vostok,46.4856,135.8833,-20.98,79,6,1.28,RU,1674962976
63,castro,-24.7911,-50.0119,17.47,64,22,0.93,BR,1674962976
64,bad hersfeld,50.8667,9.7,-3.64,84,50,0.59,DE,1674962977
65,los llanos de aridane,28.6585,-17.9182,12.86,79,75,4.63,ES,1674962977
66,saint-pierre,-21.3393,55.4781,26.82,69,0,1.54,RE,1674962978
67,san miniato,43.6899,10.8174,5.39,67,3,0.89,IT,1674962978
68,kangaatsiaq,68.3065,-53.4641,-12.77,84,100,6.47,GL,1674962978
69,sindor,62.8629,51.8905,-9.93,89,100,4.6,RU,1674962979
70,klaksvik,62.2266,-6.589,9.51,92,100,14.17,FO,1674962979
71,katangli,51.7102,143.2326,-18.54,74,90,6.62,RU,1674962979
72,coihaique,-45.5752,-72.0662,15.34,88,20,1.03,CL,1674962980
73,hasaki,35.7333,140.8333,5.22,35,51,2.65,JP,1674962980
74,lavrentiya,65.5833,-171.0,-6.73,96,98,1.24,RU,1674962980
75,saint-philippe,-21.3585,55.7679,26.77,87,99,1.34,RE,1674962981
76,bluff,-46.6,168.3333,18.21,51,0,2.13,NZ,1674962981
77,trincomalee,8.5711,81.2335,25.74,77,100,5.24,LK,1674962982
78,hermanus,-34.4187,19.2345,14.33,65,97,8.14,ZA,1674962982
79,carroll,39.5501,-77.0164,7.25,69,0,1.79,US,1674962982
80,udachnyy,66.4167,112.4,-41.0,100,69,1.25,RU,1674962983
81,saskylakh,71.9167,114.0833,-35.99,100,100,1.31,RU,1674962983
82,shagamu,6.8432,3.6478,25.88,92,96,1.0,NG,1674962984
83,buraydah,26.326,43.975,10.25,61,10,4.49,SA,1674962833
84,olafsvik,64.8945,-23.7142,2.3,89,100,7.83,IS,1674962984
85,severo-kurilsk,50.6789,156.125,-3.79,79,100,8.55,RU,1674962985
86,minab,27.1467,57.0801,12.83,54,0,3.3,IR,1674962985
87,barrow,71.2906,-156.7887,-19.99,77,100,0.0,US,1674962985
88,tuatapere,-46.1333,167.6833,21.66,41,2,4.16,NZ,1674962986
89,riyadh,24.6877,46.7219,8.08,45,0,2.3,SA,1674962845
90,pokhara,28.2333,83.9833,18.5,14,0,1.26,NP,1674962986
91,diamantino,-14.4086,-56.4461,20.77,98,98,2.2,BR,1674962986
92,imbituba,-28.24,-48.6703,23.66,93,100,5.08,BR,1674962987
93,atuona,-9.8,-139.0333,26.11,77,35,8.42,PF,1674962987
94,uruzgan,32.8333,66.0,-1.01,98,99,0.63,AF,1674962988
95,vila velha,-20.3297,-40.2925,25.53,92,40,3.58,BR,1674962988
96,moranbah,-22.0016,148.0466,32.16,46,9,6.08,AU,1674962988
97,pochutla,15.7432,-96.4661,24.34,69,9,1.87,MX,1674962989
98,hambantota,6.1241,81.1185,24.19,83,20,1.03,LK,1674962989
99,manzhouli,49.6,117.4333,-16.26,89,13,3.92,CN,1674962990
100,nikolskoye,59.7035,30.7861,-2.06,89,100,4.67,RU,1674962990
101,gimli,50.6336,-96.9907,-24.99,77,22,1.54,CA,1674962987
102,iqaluit,63.7506,-68.5145,-35.15,75,20,1.03,CA,1674962991
103,college,64.8569,-147.8028,-7.74,89,100,2.57,US,1674962991
104,qaanaaq,77.484,-69.3632,-18.94,62,94,3.21,GL,1674962992
105,bereznik,62.8551,42.7072,-8.0,92,100,4.28,RU,1674962992
106,aksum,14.1245,38.7244,12.16,69,4,1.78,ET,1674962992
107,ribeira grande,38.5167,-28.7,13.21,84,53,5.81,PT,1674962993
108,namalenga,-10.95,39.1,19.98,98,31,0.77,TZ,1674962993
109,palimbang,6.2106,124.1894,28.86,72,99,1.45,PH,1674962993
110,hithadhoo,-0.6,73.0833,27.27,77,11,5.06,MV,1674962994
111,kuruman,-27.4524,23.4325,17.77,32,3,5.72,ZA,1674962995
112,gambela,8.25,34.5833,28.3,38,94,1.43,ET,1674962995
113,mission,26.2159,-98.3253,22.34,79,75,7.2,US,1674962749
114,souillac,-20.5167,57.5167,25.21,88,40,1.54,MU,1674962996
115,lebu,-37.6167,-73.65,15.82,91,0,8.05,CL,1674962996
116,margate,51.3813,1.3862,4.27,78,100,0.45,GB,1674962996
117,acapulco,16.8634,-99.8901,26.9,78,0,1.03,MX,1674962744
118,carnarvon,-24.8667,113.6333,25.98,70,7,7.28,AU,1674962997
119,port elizabeth,-33.918,25.5701,17.16,76,40,2.57,ZA,1674962997
120,imeni babushkina,59.7573,43.1285,-12.33,95,100,4.16,RU,1674962998
121,bathsheba,13.2167,-59.5167,22.34,68,20,3.09,BB,1674962998
122,olavarria,-36.8927,-60.3225,20.12,53,0,4.06,AR,1674962999
123,khandyga,62.6667,135.6,-38.57,95,58,0.36,RU,1674962999
124,georgetown,5.4112,100.3354,29.96,71,20,3.09,MY,1674962853
125,camacha,33.0833,-16.3333,12.68,67,40,5.14,PT,1674962999
126,herat,34.5,62.0,-0.06,89,10,2.27,AF,1674963000
127,krasnomayskiy,57.6194,34.4099,-6.17,88,100,4.39,RU,1674963000
128,spisska bela,49.1872,20.4595,-3.55,97,76,2.14,SK,1674963000
129,vaini,-21.2,-175.2,27.09,89,75,2.06,TO,1674963001
130,dikson,73.5069,80.5464,-21.81,96,99,3.21,RU,1674963001
131,kaitangata,-46.2817,169.8464,19.17,60,1,2.76,NZ,1674963002
132,bilibino,68.0546,166.4372,-22.87,99,53,1.96,RU,1674962942
133,marsa matruh,31.3525,27.2453,14.75,62,63,2.3,EG,1674963003
134,port alfred,-33.5906,26.891,18.99,75,96,1.79,ZA,1674963004
135,lethem,3.3803,-59.7968,24.65,53,27,3.74,GY,1674963004
136,sinnamary,5.3833,-52.95,23.67,89,87,2.43,GF,1674963005
137,saryg-sep,51.5,95.6,-17.28,93,77,0.96,RU,1674963006
138,rawson,-43.3002,-65.1023,22.76,36,2,7.77,AR,1674963006
139,rocha,-34.4833,-54.3333,20.32,97,11,2.29,UY,1674963007
140,bambous virieux,-20.3428,57.7575,26.79,88,40,1.54,MU,1674963007
141,omboue,-1.5746,9.2618,24.08,85,44,0.73,GA,1674963008
142,bredasdorp,-34.5322,20.0403,17.43,51,99,5.4,ZA,1674963008
143,tura,25.5198,90.2201,24.51,37,0,0.37,IN,1674963008
144,hervey bay,-25.2986,152.8535,28.41,60,0,4.29,AU,1674963009
145,new norfolk,-42.7826,147.0587,24.28,29,0,1.79,AU,1674963009
146,sarangani,5.4033,125.4636,26.41,78,100,1.31,PH,1674963010
147,tual,-5.6667,132.75,27.83,75,100,3.53,ID,1674963010
148,east london,-33.0153,27.9116,18.73,74,100,6.66,ZA,1674963011
149,matagami,49.7502,-77.6328,-30.94,76,0,2.06,CA,1674963011
150,upernavik,72.7868,-56.1549,-15.99,87,100,12.91,GL,1674963012
151,zhanaozen,43.3,52.8,-3.73,56,0,5.51,KZ,1674963012
152,nevesinje,43.2586,18.1133,-7.17,86,9,3.77,BA,1674963012
153,monrovia,6.3005,-10.7969,23.87,90,46,2.15,LR,1674963013
154,ipojuca,-8.3989,-35.0639,26.95,61,92,3.51,BR,1674963013
155,hakkari,37.5833,44.1667,-2.12,93,75,3.6,TR,1674963014
156,kamenka,51.3223,42.7678,-9.23,95,99,3.07,RU,1674963014
157,lilongwe,-13.9669,33.7873,18.38,98,100,1.6,MW,1674963014
158,shakawe,-18.3667,21.85,19.12,93,71,1.81,BW,1674963015
159,bafq,31.6128,55.4107,4.3,52,11,4.67,IR,1674963016
160,baherden,38.4362,57.4316,3.11,61,100,1.33,TM,1674963016
161,maple creek,49.9168,-109.4848,-17.97,71,69,5.66,CA,1674963016
162,pacific grove,36.6177,-121.9166,11.06,79,100,4.02,US,1674962966
163,cherskiy,68.75,161.3,-31.7,99,86,1.42,RU,1674963017
164,tuktoyaktuk,69.4541,-133.0374,-18.0,78,75,5.66,CA,1674963017
165,opuwo,-18.0607,13.84,18.75,75,48,2.7,NA,1674963018
166,never,46.9896,3.159,0.86,95,7,2.44,FR,1674963018
167,albany,42.6001,-73.9662,-0.36,80,100,1.07,US,1674962825
168,cowra,-33.8333,148.6833,26.07,51,100,1.77,AU,1674963019
169,tocache,-8.1842,-76.5125,21.4,89,92,0.15,PE,1674963019
170,shahrud,36.4182,54.9763,-0.41,55,79,0.83,IR,1674963019
171,bukachacha,52.9833,116.9167,-13.61,71,20,1.09,RU,1674963020
172,kontagora,10.3999,5.4695,26.33,29,89,1.75,NG,1674963020
173,martinsburg,39.4562,-77.9639,6.9,74,0,0.0,US,1674963000
174,cap malheureux,-19.9842,57.6142,26.93,90,63,2.59,MU,1674963021
175,bijni,26.4959,90.703,23.06,42,0,3.27,IN,1674963021
176,bonavista,48.6499,-53.1147,-1.83,75,65,4.86,CA,1674963022
177,yerbogachen,61.2767,108.0108,-23.47,97,96,1.29,RU,1674963022
178,budesti,44.2347,26.4658,1.45,100,100,2.8,RO,1674963022
179,polunochnoye,60.8697,60.4153,-8.82,75,100,3.32,RU,1674963023
180,fuengirola,36.54,-4.6247,6.58,80,0,4.12,ES,1674963023
181,yulara,-25.2406,130.9889,31.63,42,79,3.45,AU,1674963024
182,kieta,-6.2167,155.6333,29.06,75,94,2.33,PG,1674963024
183,cap-aux-meules,47.3821,-61.8597,2.03,80,100,7.72,CA,1674963024
184,moose factory,51.2585,-80.6094,-29.0,76,0,3.09,CA,1674963025
185,mahebourg,-20.4081,57.7,26.81,88,40,1.54,MU,1674963025
186,ginda,30.6945,78.4932,13.25,17,100,0.83,IN,1674963026
187,hami,42.8,93.45,-5.37,25,0,0.61,CN,1674963026
188,nokaneng,-19.6667,22.2667,20.01,85,100,1.89,BW,1674963027
189,kavaratti,10.5669,72.642,26.46,72,19,4.72,IN,1674963027
190,normandin,48.8333,-72.5321,-16.83,71,16,3.09,CA,1674963027
191,menzelinsk,55.7271,53.1026,-19.01,100,100,1.94,RU,1674963028
192,katsuura,35.1333,140.3,6.01,45,63,2.53,JP,1674963028
193,port macquarie,-31.4333,152.9167,29.38,67,86,7.23,AU,1674963027
194,san lazaro,18.0387,-88.6622,20.91,96,16,1.46,BZ,1674963029
195,bucerias,20.75,-105.3333,22.21,94,100,2.06,MX,1674963029
196,baicheng,45.6167,122.8167,-11.3,54,14,4.14,CN,1674963030
197,sambava,-14.2667,50.1667,25.17,87,11,1.85,MG,1674963030
198,kavieng,-2.5744,150.7967,29.2,70,31,2.97,PG,1674963031
199,doha,25.2867,51.5333,14.94,58,0,4.12,QA,1674962937
200,koumac,-20.5667,164.2833,25.72,84,100,3.67,NC,1674963031
201,san cristobal,7.7669,-72.225,18.1,85,3,0.7,VE,1674963031
202,solnechnyy,50.7214,136.6319,-22.18,90,55,2.43,RU,1674963032
203,mar del plata,-38.0023,-57.5575,21.72,91,0,5.36,AR,1674963032
204,fort-shevchenko,44.5086,50.263,-0.11,58,4,5.33,KZ,1674963033
205,paris,48.8534,2.3488,0.08,88,20,2.06,FR,1674963027
206,micheweni,-4.9667,39.8333,25.96,74,58,4.03,TZ,1674963033
207,hilo,19.7297,-155.09,22.92,87,100,2.96,US,1674963033
208,dunedin,-45.8742,170.5036,20.42,72,0,5.76,NZ,1674963034
209,clyde river,70.4692,-68.5914,-21.87,77,100,3.6,CA,1674963034
210,gladstone,-23.85,151.25,33.21,62,0,5.14,AU,1674963035
211,bethel,41.3712,-73.414,7.19,55,0,0.0,US,1674963035
212,burlington,39.8835,-74.6413,7.54,69,100,3.13,US,1674962771
213,arman,59.7,150.1667,-16.51,83,50,3.98,RU,1674963035
214,podgornoye,51.735,39.1496,-9.88,92,75,2.0,RU,1674963036
215,namibe,-15.1961,12.1522,24.04,80,100,1.58,AO,1674963036
216,nome,64.5011,-165.4064,-3.96,93,100,3.6,US,1674962943
217,khatanga,71.9667,102.5,-36.92,99,97,2.44,RU,1674963036
218,kudahuvadhoo,2.6708,72.8944,27.0,76,6,4.69,MV,1674963037
219,victoria,22.2855,114.1577,14.97,31,6,4.92,HK,1674962812
220,constitucion,-35.3333,-72.4167,15.97,68,0,4.5,CL,1674963037
221,muros,42.7762,-9.0603,4.91,81,4,6.81,ES,1674963038
222,omsukchan,62.5333,155.8,-26.73,99,63,2.6,RU,1674963038
223,duekoue,6.7472,-7.3496,21.53,94,40,1.19,CI,1674963038
224,san patricio,28.017,-97.5169,20.92,87,100,6.54,US,1674963040
225,sao filipe,14.8961,-24.4956,22.59,70,49,4.41,CV,1674963040
226,scottsbluff,41.8666,-103.6672,-13.38,80,100,4.63,US,1674963040
227,maniitsoq,65.4167,-52.9,-12.22,87,100,7.74,GL,1674963041
228,qeshm,26.9581,56.2719,12.94,56,0,3.89,IR,1674963041
229,rorvik,64.8621,11.2373,2.06,93,100,4.63,NO,1674963041
230,wabash,40.7978,-85.8205,5.85,89,100,5.75,US,1674963042
231,mudon,16.2578,97.7164,27.9,34,1,3.62,MM,1674963042
232,broken hill,-31.95,141.4333,19.61,76,100,4.93,AU,1674962776
233,barranca,-10.75,-77.7667,21.87,80,100,2.23,PE,1674963042
234,henties bay,-22.116,14.2845,18.09,83,72,2.32,NA,1674963043
235,chokurdakh,70.6333,147.9167,-29.18,97,100,0.68,RU,1674963044
236,mitsamiouli,-11.3847,43.2844,27.12,81,16,3.45,KM,1674963044
237,asfi,32.2994,-9.2372,9.47,67,6,6.01,MA,1674963045
238,vengerovo,55.6848,76.7471,-11.94,97,93,3.58,RU,1674963045
239,avera,33.194,-82.5271,6.06,60,88,2.11,US,1674963045
240,boz,46.4071,4.9109,1.75,93,60,2.4,FR,1674963046
241,nantucket,41.2835,-70.0995,6.08,88,0,3.09,US,1674962968
242,ocean city,39.2776,-74.5746,6.1,80,19,0.89,US,1674962827
243,ndele,8.4109,20.6473,21.43,20,30,1.82,CF,1674963046
244,mehamn,71.0357,27.8492,-2.05,74,83,5.14,NO,1674963046
245,amudat,1.95,34.95,18.3,51,1,2.35,UG,1674963047
246,tiksi,71.6872,128.8694,-32.94,94,100,3.07,RU,1674963047
247,pryazha,61.6926,33.6216,-3.43,95,100,4.87,RU,1674963048
248,mudanjiang,44.5833,129.6,-15.4,76,100,0.89,CN,1674963048
249,peachtree city,33.3968,-84.5958,9.77,55,0,2.57,US,1674963048
250,suluq,31.6682,20.2521,10.7,58,0,1.96,LY,1674963049
251,korla,41.7597,86.1469,-8.25,63,76,0.55,CN,1674963050
252,biscarrosse,44.3945,-1.1672,2.97,81,100,4.12,FR,1674963050
253,belaya gora,68.5333,146.4167,-31.29,97,100,0.43,RU,1674963050
254,nouadhibou,20.931,-17.0347,16.21,72,6,8.31,MR,1674963051
255,sitka,57.0531,-135.33,1.94,64,20,2.06,US,1674963051
256,ponta do sol,32.6667,-17.1,13.89,77,48,2.98,PT,1674963051
257,geraldton,-28.7667,114.6,40.23,20,40,7.72,AU,1674962842
258,itarema,-2.9248,-39.9167,25.43,83,8,5.25,BR,1674963052
259,pangnirtung,66.1451,-65.7125,-37.74,83,16,3.13,CA,1674963052
260,yeola,20.0333,74.4833,22.96,32,1,2.93,IN,1674963053
261,tuy hoa,13.0833,109.3,20.48,83,100,8.9,VN,1674963053
262,rio grande,-32.035,-52.0986,22.24,90,32,0.44,BR,1674963053
263,portland,45.5234,-122.6762,4.87,88,100,5.81,US,1674962985
264,lagos,6.5833,3.75,26.18,87,93,1.76,NG,1674963054
265,tala,30.6803,30.9429,10.19,87,38,3.38,EG,1674963054
266,mayo,38.8876,-76.5119,7.5,76,0,2.06,US,1674963055
267,grand gaube,-20.0064,57.6608,26.88,90,64,2.75,MU,1674963055
268,ibra,22.6906,58.5334,15.31,70,0,2.43,OM,1674963056
269,tarsus,36.9188,34.8784,11.21,78,10,2.97,TR,1674963056
270,torbay,47.6666,-52.7314,-2.07,80,100,1.03,CA,1674963041
271,swellendam,-34.0226,20.4417,16.02,71,100,5.38,ZA,1674963056
272,melito di porto salvo,37.9222,15.7714,10.99,78,95,4.18,IT,1674963057
273,poso,-1.3959,120.7524,29.07,71,79,2.73,ID,1674963057
274,bandarbeyla,9.4942,50.8122,24.4,73,69,7.69,SO,1674963057
275,marsh harbour,26.5412,-77.0636,22.43,69,83,8.33,BS,1674963058
276,lagoa,39.05,-27.9833,14.12,70,57,7.93,PT,1674963058
277,vila franca do campo,37.7167,-25.4333,12.23,80,60,4.55,PT,1674963059
278,caravelas,-17.7125,-39.2481,23.73,91,20,1.86,BR,1674963059
279,mokshan,53.4365,44.6132,-16.94,97,39,1.89,RU,1674963060
280,meulaboh,4.1363,96.1285,28.36,71,97,1.24,ID,1674963060
281,anadyr,64.75,177.4833,-1.72,80,0,6.0,RU,1674963061
282,miraflores,19.2167,-98.8083,17.79,49,11,1.46,MX,1674963061
283,nizhnevartovsk,60.9344,76.5531,-20.53,99,56,4.25,RU,1674963062
284,belyy yar,53.6039,91.3903,-4.06,68,0,8.0,RU,1674963062
285,chenghai,23.4632,116.768,12.95,28,0,3.0,CN,1674963063
286,murgab,37.4966,61.9714,-1.07,80,0,3.09,TM,1674963063
287,casa branca,-21.7739,-47.0864,19.65,97,100,0.94,BR,1674963063
288,taki,22.5861,88.9214,20.97,20,2,3.91,IN,1674963064
289,along,28.1667,94.7667,22.45,40,1,0.21,IN,1674963064
